step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.5122247602158566,0.5394828241173227,0.9000000000000001,,"Is the image focused on the woman or the animals? ","This image depicted a woman surrounded by animals of various species. Some smiling, others growling, some with expressionless faces. The vast majority are facing towards the woman giving a sense of movement to the circle as it closes in. ",,,,,,,,
2,guaman-poma-nueva,0.7328687917097719,0.5908273993766072,9.726039212076582,,"What is the significance of the animals depicted? ","Few, if any, appear to be agricultural animals that the woman might be accustomed to being around or having a relationship with. Rather we have large cats, dogs, lizards, and snakes. All animals encountered in wild, non-agrarian, contexts where the control of humans on our surroundings are diminished. ",,Learn more,cool-animals-why-are-they.md,,,,,
3,guaman-poma-nueva,0.5086975028363524,0.4362373909758517,6.451767304860088,,Who is the woman?,"While not understanding the identity of the images central figure, her posture and downward cast gaze tell us she has almost resigned to her surroundings. Despite a bird landing on her head, her hands are cradling her own face and not attempting to shoo it away. What can we learn from her seated acceptance of her surroundings? ",,Learn more,cool-animals-what-can-we.md,,,,,
4,guaman-poma-nueva,0.756625995967115,0.026188175209257945,21.774714653902794,,What is the object?,"The large center-heading text, the numbered pages, and the presence of other images in the scan tell us this is likely the cover page or beginning of a chapter in a larger volume. If this is a political or religious tract, how might an image like this serve to build sympathy for the authors arguments? ",,Learn more,cool-animals-why-is-this.md,,,,,
5,guaman-poma-nueva,0.5104043683589139,0.31695405825560435,4.301178203240059,,Why was the item made?,"Despite knowing nothing about the item other than the metadata on the library page, I feel reasonably confident this image is used to create sympathy and identification with a group of people who feel under assault. This is evidenced by the visual composition of the work, it's place in a larger written tract, and the body language of the characters involved.",,,,,,,,
